ImageId, X_min, Y_min, X_max, Y_max
1000.jpg,29,57,324,472
1001.jpg,95,113,248,212
1002.jpg,52,95,426,362
1003.jpg,112,94,255,473
1004.jpg,207,10,355,322
1005.jpg,10,34,201,284
1006.jpg,99,156,296,292
1007.jpg,240,68,453,314
1008.jpg,124,67,400,211
1009.jpg,246,75,452,247
1010.jpg,5,79,253,389
1011.jpg,111,3,458,272
1012.jpg,91,84,351,333
1013.jpg,104,61,358,400
1014.jpg,9,95,428,398
1015.jpg,65,104,356,442
1016.jpg,126,87,288,232
1017.jpg,216,129,442,269
1018.jpg,34,28,237,491
1019.jpg,20,21,327,269
1020.jpg,2,169,188,425
1021.jpg,5,42,325,211
1022.jpg,117,49,226,234
1023.jpg,150,24,361,372
1024.jpg,99,143,284,288
1025.jpg,42,167,159,386
1026.jpg,123,120,278,370
1027.jpg,34,60,276,200
1028.jpg,128,81,308,302
1029.jpg,76,93,333,317
1030.jpg,12,22,419,500
1031.jpg,185,35,403,373
1032.jpg,34,86,434,389
1033.jpg,2,79,330,274
1034.jpg,45,171,193,353
1035.jpg,129,65,380,243
1036.jpg,179,119,415,294
1037.jpg,87,44,280,234
1038.jpg,10,108,335,234
1039.jpg,123,99,295,465
1040.jpg,101,118,417,403
1041.jpg,254,127,412,240
1042.jpg,207,111,442,307
1043.jpg,118,18,477,302
1044.jpg,1,77,357,496
1045.jpg,56,26,209,161
1046.jpg,105,74,303,234
1047.jpg,143,155,265,260
1048.jpg,86,37,318,166
1049.jpg,213,86,447,371
1050.jpg,67,23,495,374
1051.jpg,45,66,216,228
1052.jpg,158,67,431,320
1053.jpg,0,37,483,329
1054.jpg,94,134,495,277
1055.jpg,108,38,381,470
1056.jpg,184,107,343,258
1057.jpg,157,72,322,341
1058.jpg,171,64,293,275
1059.jpg,173,90,350,291
1060.jpg,121,23,338,333
1061.jpg,69,29,404,327
1062.jpg,187,100,300,196
1063.jpg,151,61,402,365
1064.jpg,139,68,477,309
1065.jpg,99,120,319,446
1066.jpg,84,45,500,491
1067.jpg,57,83,288,291
1068.jpg,48,65,226,281
1069.jpg,206,94,397,342
1070.jpg,0,95,371,363
1071.jpg,20,62,309,285
1072.jpg,100,168,239,421
1073.jpg,29,63,442,336
1074.jpg,50,55,480,287
1075.jpg,79,91,478,392
1076.jpg,177,111,448,338
1077.jpg,65,46,272,246
1078.jpg,138,85,299,297
1079.jpg,61,70,476,254
1080.jpg,11,0,380,347
1081.jpg,202,112,364,273
1082.jpg,96,103,360,342
1083.jpg,186,131,322,364
1084.jpg,44,116,302,265
1085.jpg,212,93,314,205
1086.jpg,162,86,425,247
1087.jpg,132,66,345,337
1088.jpg,31,46,312,278
1089.jpg,62,103,213,425
1090.jpg,73,56,259,194
1091.jpg,122,91,359,248
1092.jpg,291,128,410,259
1093.jpg,100,62,460,330
1094.jpg,130,92,281,338
1095.jpg,45,82,429,385
1096.jpg,92,146,282,385
1097.jpg,118,80,372,353
1098.jpg,94,78,461,279
1099.jpg,55,51,232,260
1100.jpg,40,117,322,491
1101.jpg,162,62,323,399
1102.jpg,146,60,338,400
1103.jpg,5,60,259,333
1104.jpg,89,63,255,184
1105.jpg,143,51,500,310
1106.jpg,14,13,184,216
1107.jpg,109,36,233,212
1108.jpg,22,74,406,230
1109.jpg,215,57,367,420
1110.jpg,126,106,458,275
1111.jpg,237,57,395,218
1112.jpg,156,93,344,250
1113.jpg,90,116,365,451
1114.jpg,30,0,474,290
1115.jpg,34,10,491,344
1116.jpg,193,217,298,411
