ImageId, X_min, Y_min, X_max, Y_max
1000.jpg,37,53,315,470
1001.jpg,20,112,250,222
1002.jpg,25,79,463,362
1003.jpg,116,87,251,483
1004.jpg,202,0,355,326
1005.jpg,0,29,196,281
1006.jpg,98,155,299,290
1007.jpg,221,66,465,309
1008.jpg,120,70,398,212
1009.jpg,247,72,450,241
1010.jpg,22,77,247,380
1011.jpg,126,12,448,256
1012.jpg,91,82,346,333
1013.jpg,106,60,358,398
1014.jpg,6,103,430,400
1015.jpg,73,102,357,451
1016.jpg,128,85,288,231
1017.jpg,212,123,450,276
1018.jpg,53,30,233,479
1019.jpg,32,29,324,268
1020.jpg,3,163,186,422
1021.jpg,4,42,321,224
1022.jpg,117,47,224,234
1023.jpg,152,22,361,375
1024.jpg,100,144,283,289
1025.jpg,44,165,163,384
1026.jpg,125,118,277,372
1027.jpg,37,61,274,203
1028.jpg,131,81,304,271
1029.jpg,81,89,326,307
1030.jpg,1,33,431,495
1031.jpg,182,32,399,379
1032.jpg,30,67,435,364
1033.jpg,20,75,330,277
1034.jpg,41,171,195,373
1035.jpg,128,62,383,237
1036.jpg,182,112,410,286
1037.jpg,91,41,279,241
1038.jpg,14,113,328,240
1039.jpg,133,92,289,462
1040.jpg,114,112,410,399
1041.jpg,253,125,410,241
1042.jpg,205,113,451,305
1043.jpg,124,18,460,318
1044.jpg,8,78,338,498
1045.jpg,52,27,204,159
1046.jpg,101,73,306,254
1047.jpg,140,154,269,259
1048.jpg,85,37,315,176
1049.jpg,218,83,451,371
1050.jpg,71,31,496,378
1051.jpg,45,87,216,214
1052.jpg,158,70,446,316
1053.jpg,4,54,491,332
1054.jpg,107,130,500,279
1055.jpg,107,31,377,473
1056.jpg,184,107,343,262
1057.jpg,123,68,316,309
1058.jpg,169,61,292,274
1059.jpg,152,89,353,281
1060.jpg,114,20,330,333
1061.jpg,72,35,399,327
1062.jpg,188,94,305,236
1063.jpg,155,68,397,327
1064.jpg,138,68,471,312
1065.jpg,107,110,306,447
1066.jpg,92,52,495,484
1067.jpg,54,81,289,280
1068.jpg,43,64,225,279
1069.jpg,205,90,396,325
1070.jpg,0,91,370,370
1071.jpg,5,61,314,284
1072.jpg,104,165,241,420
1073.jpg,27,57,436,329
1074.jpg,54,42,474,293
1075.jpg,86,89,477,395
1076.jpg,176,109,445,328
1077.jpg,64,46,270,235
1078.jpg,136,80,300,291
1079.jpg,67,67,497,249
1080.jpg,34,77,368,347
1081.jpg,202,109,367,272
1082.jpg,109,100,278,301
1083.jpg,188,131,322,363
1084.jpg,45,115,302,270
1085.jpg,203,89,316,212
1086.jpg,160,85,422,246
1087.jpg,120,63,341,333
1088.jpg,51,45,257,286
1089.jpg,62,95,214,427
1090.jpg,65,57,265,198
1091.jpg,121,90,368,238
1092.jpg,293,128,411,261
1093.jpg,112,61,450,315
1094.jpg,130,84,277,347
1095.jpg,53,79,434,380
1096.jpg,95,138,320,377
1097.jpg,118,78,370,340
1098.jpg,96,76,439,274
1099.jpg,56,50,236,252
1100.jpg,41,114,317,499
1101.jpg,172,60,320,353
1102.jpg,152,69,337,399
1103.jpg,75,61,259,332
1104.jpg,91,64,256,182
1105.jpg,144,49,496,294
1106.jpg,15,11,193,213
1107.jpg,110,36,233,214
1108.jpg,32,77,404,234
1109.jpg,221,53,358,422
1110.jpg,126,106,451,269
1111.jpg,236,57,421,219
1112.jpg,150,90,338,242
1113.jpg,95,118,371,445
1114.jpg,16,18,457,269
1115.jpg,0,0,0,0
1116.jpg,195,216,296,421
1117.jpg,71,106,321,341
1118.jpg,154,40,339,309
1119.jpg,76,127,220,445
1120.jpg,193,31,386,254
1121.jpg,167,121,346,269
1122.jpg,90,31,313,251
1123.jpg,89,78,419,264
1124.jpg,50,69,493,323
1125.jpg,165,150,388,282
1126.jpg,170,147,475,364
1127.jpg,45,69,447,439
1128.jpg,180,8,346,349
1129.jpg,23,83,300,469
1130.jpg,34,42,279,294
1131.jpg,157,45,498,374
1132.jpg,206,109,324,225
1133.jpg,131,109,297,242
1134.jpg,86,103,197,350
1135.jpg,186,57,300,337
1136.jpg,40,69,376,379
1137.jpg,115,68,417,261
1138.jpg,165,114,357,322
1139.jpg,0,11,395,311
1140.jpg,216,27,392,148
1141.jpg,177,56,351,254
1142.jpg,146,104,400,247
1143.jpg,12,23,158,124
1144.jpg,163,91,284,262
1145.jpg,177,70,353,309
1146.jpg,199,63,435,298
1147.jpg,161,89,353,321
1148.jpg,152,126,316,466
1149.jpg,70,40,498,375
1150.jpg,21,179,208,336
1151.jpg,225,140,438,363
1152.jpg,160,39,277,291
1153.jpg,164,10,339,375
1154.jpg,101,30,324,375
1155.jpg,97,70,484,375
1156.jpg,30,78,405,291
1157.jpg,136,184,308,347
1158.jpg,119,102,281,213
1159.jpg,141,69,314,330
1160.jpg,133,105,310,269
1161.jpg,54,19,222,265
1162.jpg,148,95,342,247
1163.jpg,30,22,408,346
1164.jpg,19,25,267,435
1165.jpg,0,121,307,444
1166.jpg,51,34,247,371
1167.jpg,44,35,189,128
1168.jpg,183,118,348,249
1169.jpg,70,121,387,412
1170.jpg,127,62,435,299
1171.jpg,131,21,362,347
1172.jpg,119,98,376,472
1173.jpg,122,101,343,419
1174.jpg,47,45,205,293
1175.jpg,122,57,463,334
1176.jpg,71,41,210,149
1177.jpg,111,106,289,378
1178.jpg,7,24,495,273
1179.jpg,25,80,464,291
1180.jpg,173,184,372,365
1181.jpg,47,68,333,497
1182.jpg,114,118,413,430
1183.jpg,103,95,313,444
1184.jpg,25,101,264,437
1185.jpg,84,88,289,240
1186.jpg,155,34,335,417
1187.jpg,0,24,358,400
1188.jpg,77,136,376,323
1189.jpg,239,131,377,229
1190.jpg,144,67,436,300
1191.jpg,331,27,377,199
1192.jpg,87,33,304,178
1193.jpg,126,58,372,238
