ImageId, X_min, Y_min, X_max, Y_max
1000.jpg,35,49,322,465
1001.jpg,110,112,247,220
1002.jpg,71,82,446,368
1003.jpg,117,94,258,450
1004.jpg,206,5,361,320
1005.jpg,11,29,198,284
1006.jpg,92,157,298,291
1007.jpg,246,65,460,305
1008.jpg,125,69,407,209
1009.jpg,246,72,450,238
1010.jpg,18,76,261,393
1011.jpg,120,5,454,263
1012.jpg,88,85,344,317
1013.jpg,107,56,359,391
1014.jpg,16,103,433,423
1015.jpg,70,103,352,442
1016.jpg,119,85,290,229
1017.jpg,215,126,455,277
1018.jpg,40,35,238,479
1019.jpg,13,25,332,271
1020.jpg,6,164,185,419
1021.jpg,0,38,324,222
1022.jpg,114,46,223,235
1023.jpg,145,22,361,340
1024.jpg,94,144,284,294
1025.jpg,44,164,161,385
1026.jpg,123,115,284,365
1027.jpg,25,60,273,203
1028.jpg,126,79,304,269
1029.jpg,68,93,332,306
1030.jpg,18,24,421,500
1031.jpg,187,31,399,358
1032.jpg,21,88,411,389
1033.jpg,15,73,331,276
1034.jpg,50,169,193,388
1035.jpg,116,62,382,248
1036.jpg,186,109,415,283
1037.jpg,93,39,278,231
1038.jpg,13,112,340,235
1039.jpg,128,93,293,445
1040.jpg,107,115,418,399
1041.jpg,256,127,411,241
1042.jpg,209,110,444,311
1043.jpg,116,17,468,314
1044.jpg,8,76,315,500
1045.jpg,56,26,209,163
1046.jpg,110,73,296,251
1047.jpg,141,154,268,260
1048.jpg,89,36,315,159
1049.jpg,214,82,451,371
1050.jpg,71,20,500,375
1051.jpg,29,75,211,220
1052.jpg,159,45,448,318
1053.jpg,0,57,492,335
1054.jpg,101,127,494,274
1055.jpg,101,32,378,465
1056.jpg,186,104,345,259
1057.jpg,151,67,320,324
1058.jpg,169,59,295,271
1059.jpg,165,91,353,278
1060.jpg,108,19,333,332
1061.jpg,75,51,397,325
1062.jpg,187,97,304,197
1063.jpg,160,70,398,375
1064.jpg,129,64,468,300
1065.jpg,105,114,319,446
1066.jpg,91,43,440,458
1067.jpg,55,80,291,289
1068.jpg,41,65,223,267
1069.jpg,204,92,396,335
1070.jpg,5,87,366,369
1071.jpg,38,64,309,288
1072.jpg,99,164,241,407
1073.jpg,22,62,428,346
1074.jpg,59,42,481,298
1075.jpg,87,94,480,408
1076.jpg,175,108,443,327
1077.jpg,65,47,272,239
1078.jpg,135,82,298,295
1079.jpg,6,61,481,266
1080.jpg,11,40,372,347
1081.jpg,204,111,373,269
1082.jpg,101,99,248,299
1083.jpg,187,130,320,361
1084.jpg,45,114,300,273
1085.jpg,203,92,315,214
1086.jpg,159,84,413,237
1087.jpg,127,62,345,331
1088.jpg,48,49,301,274
1089.jpg,65,100,216,420
1090.jpg,70,57,263,210
1091.jpg,124,91,338,229
1092.jpg,291,126,410,260
1093.jpg,107,60,312,332
1094.jpg,116,83,282,339
1095.jpg,49,81,430,381
1096.jpg,100,140,322,370
1097.jpg,127,78,366,337
1098.jpg,89,73,443,273
1099.jpg,57,51,234,256
1100.jpg,33,116,316,499
1101.jpg,170,61,322,396
1102.jpg,147,73,337,395
1103.jpg,66,59,256,327
1104.jpg,88,62,255,184
1105.jpg,147,44,500,309
1106.jpg,18,6,187,211
1107.jpg,113,36,233,218
1108.jpg,28,84,397,230
1109.jpg,218,51,370,415
1110.jpg,127,102,446,267
1111.jpg,236,54,407,219
1112.jpg,151,89,344,259
1113.jpg,97,115,372,449
1114.jpg,9,9,500,297
1115.jpg,23,52,414,302
1116.jpg,194,215,295,395
1117.jpg,77,99,330,367
1118.jpg,160,42,332,310
1119.jpg,76,130,230,447
1120.jpg,192,32,380,246
1121.jpg,175,123,343,271
1122.jpg,92,40,310,252
1123.jpg,110,88,423,265
1124.jpg,43,65,238,325
1125.jpg,161,155,389,279
1126.jpg,162,150,493,354
1127.jpg,42,62,461,445
1128.jpg,180,13,347,344
1129.jpg,21,87,296,457
1130.jpg,35,39,278,279
1131.jpg,172,46,497,375
1132.jpg,206,111,321,220
1133.jpg,133,109,295,242
1134.jpg,86,106,207,345
1135.jpg,186,54,300,370
1136.jpg,28,67,377,377
1137.jpg,13,80,449,264
1138.jpg,162,112,366,335
1139.jpg,0,2,397,304
1140.jpg,216,26,395,146
1141.jpg,177,56,355,253
1142.jpg,148,108,398,247
1143.jpg,17,21,160,125
1144.jpg,166,90,276,224
1145.jpg,191,66,356,309
1146.jpg,198,63,434,307
1147.jpg,165,87,348,315
1148.jpg,147,130,326,457
1149.jpg,77,37,500,375
1150.jpg,16,177,211,342
1151.jpg,227,141,406,368
1152.jpg,161,40,279,293
1153.jpg,164,12,339,374
1154.jpg,135,30,324,364
1155.jpg,97,74,484,374
1156.jpg,16,69,405,298
1157.jpg,138,181,303,353
1158.jpg,117,101,282,219
1159.jpg,148,66,315,318
1160.jpg,134,104,312,272
1161.jpg,46,21,224,266
1162.jpg,144,96,342,247
1163.jpg,24,18,407,346
1164.jpg,25,24,261,438
1165.jpg,7,125,276,392
1166.jpg,41,36,246,355
1167.jpg,44,35,186,130
1168.jpg,181,119,351,244
1169.jpg,68,122,382,363
1170.jpg,125,63,425,316
1171.jpg,131,17,357,339
1172.jpg,152,97,373,470
1173.jpg,124,98,347,416
1174.jpg,42,46,205,283
1175.jpg,120,59,460,333
1176.jpg,65,36,250,149
1177.jpg,117,105,292,384
1178.jpg,14,20,470,244
1179.jpg,22,82,445,273
1180.jpg,174,184,373,387
1181.jpg,67,84,330,494
1182.jpg,118,116,411,433
1183.jpg,96,99,324,443
1184.jpg,14,104,248,460
1185.jpg,82,89,284,243
1186.jpg,145,40,336,414
1187.jpg,1,40,355,400
1188.jpg,81,134,374,302
1189.jpg,238,134,376,230
1190.jpg,139,57,486,299
1191.jpg,0,0,0,0
1192.jpg,85,34,319,180
1193.jpg,123,56,394,239
1194.jpg,10,117,290,271
1195.jpg,78,164,236,277
1196.jpg,30,49,452,266
1197.jpg,52,89,196,250
1198.jpg,132,101,290,262
1199.jpg,111,117,448,258
1200.jpg,32,132,194,367
1201.jpg,22,58,368,373
1202.jpg,42,38,240,487
1203.jpg,104,88,288,469
1204.jpg,176,94,438,299
1205.jpg,11,1,129,132
1206.jpg,291,95,398,235
1207.jpg,218,65,399,232
1208.jpg,113,90,286,311
1209.jpg,94,26,340,339
1210.jpg,68,50,204,358
1211.jpg,141,99,438,377
1212.jpg,70,94,324,228
1213.jpg,148,149,336,308
1214.jpg,90,239,263,425
1215.jpg,135,43,305,251
1216.jpg,148,108,405,254
1217.jpg,112,39,386,365
1218.jpg,31,29,338,290
1219.jpg,68,100,329,440
1220.jpg,55,78,299,284
1221.jpg,27,128,287,421
1222.jpg,150,56,377,298
1223.jpg,59,33,187,133
1224.jpg,117,46,339,302
1225.jpg,140,124,329,372
1226.jpg,31,50,384,218
1227.jpg,89,63,218,325
1228.jpg,171,172,333,346
1229.jpg,253,31,429,285
1230.jpg,0,76,290,208
1231.jpg,218,99,451,379
1232.jpg,33,5,170,124
1233.jpg,0,0,0,0
1234.jpg,40,66,211,271
1235.jpg,140,138,278,287
1236.jpg,65,96,215,476
1237.jpg,60,33,500,321
1238.jpg,88,104,342,312
1239.jpg,109,127,337,280
1240.jpg,174,154,359,290
1241.jpg,146,78,387,379
1242.jpg,102,24,295,210
1243.jpg,10,83,448,350
1244.jpg,177,140,295,277
1245.jpg,10,15,249,256
1246.jpg,138,101,363,375
1247.jpg,9,72,325,461
1248.jpg,44,48,272,351
1249.jpg,216,124,434,269
1250.jpg,50,147,298,419
1251.jpg,61,180,284,285
1252.jpg,122,131,242,422
1253.jpg,163,20,374,275
1254.jpg,133,109,314,322
1255.jpg,170,111,428,295
1256.jpg,129,110,395,296
1257.jpg,29,99,428,325
1258.jpg,139,127,330,257
1259.jpg,102,71,224,287
1260.jpg,21,71,412,329
1261.jpg,70,69,217,298
1262.jpg,146,48,471,208
1263.jpg,240,131,375,238
1264.jpg,119,111,321,222
1265.jpg,130,91,282,340
1266.jpg,163,40,277,182
1267.jpg,59,69,460,281
1268.jpg,128,46,436,258
1269.jpg,14,18,492,326
1270.jpg,120,81,316,448
1271.jpg,170,91,371,379
1272.jpg,113,92,370,261
1273.jpg,0,0,0,0
1274.jpg,49,127,336,282
1275.jpg,36,86,274,418
1276.jpg,26,3,211,318
1277.jpg,88,98,298,280
1278.jpg,154,144,432,310
1279.jpg,78,27,228,181
1280.jpg,81,48,236,181
1281.jpg,155,180,433,356
1282.jpg,188,138,414,312
1283.jpg,106,103,350,273
1284.jpg,210,115,476,325
1285.jpg,181,106,337,330
1286.jpg,96,120,283,338
1287.jpg,55,143,382,396
1288.jpg,110,79,270,210
1289.jpg,160,103,484,390
1290.jpg,44,63,441,235
1291.jpg,24,22,322,394
1292.jpg,209,77,327,322
1293.jpg,0,73,448,253
1294.jpg,75,74,324,245
1295.jpg,192,91,353,295
1296.jpg,153,96,288,215
1297.jpg,82,45,243,194
1298.jpg,38,15,365,319
1299.jpg,182,75,305,294
