               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073797,            0.027295,                   0,             0.44628,             0.76627,             0.55366,             0.18026,            0.028151,             0.01304,                   0,           0.0032667,           0.0032667,              0.0706
                   1,            0.049286,             0.01957,                   0,             0.72522,             0.70443,              0.7121,             0.21709,            0.026986,           0.0086018,                   0,           0.0065592,           0.0065592,            0.040559
                   2,             0.04496,            0.017917,                   0,             0.77419,             0.74384,             0.78746,             0.35435,            0.028485,           0.0075119,                   0,           0.0098104,           0.0098104,            0.010477
                   3,            0.046405,            0.018232,                   0,             0.74238,             0.72398,             0.73831,              0.3051,            0.029951,           0.0079813,                   0,           0.0098144,           0.0098144,           0.0098144
                   4,            0.045087,            0.017675,                   0,             0.75134,              0.6698,             0.73905,             0.34998,            0.023759,           0.0078807,                   0,           0.0098144,           0.0098144,           0.0098144
                   5,            0.042685,            0.017448,                   0,             0.83203,             0.83251,             0.88328,             0.47431,            0.023268,           0.0077774,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.038415,            0.016456,                   0,               0.846,             0.86597,              0.9193,             0.52268,            0.020169,           0.0071426,                   0,           0.0096906,           0.0096906,           0.0096906
                   7,            0.036251,            0.015995,                   0,             0.85985,             0.87647,             0.90885,             0.53099,            0.018469,           0.0067233,                   0,           0.0096288,           0.0096288,           0.0096288
                   8,             0.04088,             0.01547,                   0,             0.91607,             0.91626,             0.94721,              0.5758,            0.017998,            0.005923,                   0,           0.0095669,           0.0095669,           0.0095669
                   9,            0.037902,            0.015654,                   0,             0.93747,             0.89163,             0.96035,             0.57905,            0.019439,           0.0059665,                   0,            0.009505,            0.009505,            0.009505
                  10,            0.036834,            0.016596,                   0,             0.57324,             0.55665,             0.51979,             0.23753,            0.027301,           0.0098858,                   0,           0.0094431,           0.0094431,           0.0094431
                  11,            0.039552,              0.0175,                   0,             0.89003,             0.79739,             0.86564,             0.47278,            0.019543,           0.0076758,                   0,           0.0093813,           0.0093813,           0.0093813
                  12,            0.035841,            0.015491,                   0,             0.92523,             0.92118,             0.94859,             0.59908,            0.016379,           0.0061627,                   0,           0.0093194,           0.0093194,           0.0093194
                  13,            0.032353,            0.015475,                   0,             0.88889,             0.94578,             0.95598,             0.58169,            0.018369,           0.0062464,                   0,           0.0092575,           0.0092575,           0.0092575
                  14,            0.035299,            0.015385,                   0,               0.935,             0.92115,             0.95996,             0.61912,            0.016792,           0.0062513,                   0,           0.0091956,           0.0091956,           0.0091956
                  15,            0.029985,             0.01502,                   0,             0.94106,             0.94581,              0.9741,             0.62734,            0.016617,           0.0059109,                   0,           0.0091337,           0.0091337,           0.0091337
                  16,            0.031469,            0.014561,                   0,             0.93199,             0.94506,              0.9668,             0.63747,            0.016273,           0.0058271,                   0,           0.0090719,           0.0090719,           0.0090719
                  17,            0.031374,            0.014721,                   0,             0.93973,             0.92611,             0.96488,             0.64458,            0.015297,           0.0057364,                   0,             0.00901,             0.00901,             0.00901
                  18,            0.031091,            0.013919,                   0,             0.96874,             0.91609,             0.97846,             0.64943,            0.016309,           0.0057904,                   0,           0.0089481,           0.0089481,           0.0089481
                  19,             0.03108,             0.01414,                   0,             0.92682,             0.93577,             0.97564,             0.64526,            0.015364,           0.0059265,                   0,           0.0088863,           0.0088863,           0.0088863
                  20,            0.029266,            0.014376,                   0,             0.94311,             0.98005,             0.98496,             0.66152,            0.016824,           0.0057499,                   0,           0.0088244,           0.0088244,           0.0088244
                  21,            0.030027,            0.014227,                   0,             0.92852,             0.96059,             0.97913,             0.70221,            0.014712,           0.0053446,                   0,           0.0087625,           0.0087625,           0.0087625
                  22,             0.02787,            0.013152,                   0,             0.94561,             0.94581,             0.97997,             0.68293,            0.014514,           0.0053129,                   0,           0.0087006,           0.0087006,           0.0087006
                  23,            0.031476,            0.013861,                   0,             0.94173,             0.95567,              0.9834,             0.69001,            0.014124,            0.005468,                   0,           0.0086388,           0.0086388,           0.0086388
                  24,             0.02654,            0.013622,                   0,             0.95008,             0.94089,             0.97478,             0.69281,            0.014456,           0.0055017,                   0,           0.0085769,           0.0085769,           0.0085769
                  25,            0.027968,             0.01301,                   0,                0.95,             0.93594,             0.96239,             0.67728,            0.015667,           0.0055491,                   0,            0.008515,            0.008515,            0.008515
                  26,             0.02758,            0.012817,                   0,             0.94146,             0.95067,             0.98256,             0.68174,            0.014947,           0.0058457,                   0,           0.0084531,           0.0084531,           0.0084531
                  27,            0.025082,            0.012523,                   0,             0.94554,             0.94081,             0.97885,             0.69179,            0.014189,           0.0054927,                   0,           0.0083913,           0.0083913,           0.0083913
                  28,            0.027202,            0.012893,                   0,             0.94988,             0.93596,             0.97428,             0.69221,            0.014057,           0.0056438,                   0,           0.0083294,           0.0083294,           0.0083294
                  29,            0.026312,            0.013105,                   0,              0.9458,             0.94561,             0.97555,             0.69418,            0.013742,           0.0054083,                   0,           0.0082675,           0.0082675,           0.0082675
                  30,            0.023874,            0.012586,                   0,             0.92339,             0.95074,             0.97145,             0.68579,            0.013906,           0.0054342,                   0,           0.0082056,           0.0082056,           0.0082056
                  31,            0.026168,            0.012895,                   0,             0.95586,             0.96059,              0.9803,             0.67417,            0.013852,           0.0054139,                   0,           0.0081437,           0.0081437,           0.0081437
                  32,            0.026084,            0.012318,                   0,             0.94164,             0.95567,             0.97188,             0.69483,            0.014511,           0.0056634,                   0,           0.0080819,           0.0080819,           0.0080819
                  33,            0.026059,            0.012849,                   0,             0.97965,             0.95074,             0.98349,             0.69534,            0.013555,           0.0053586,                   0,             0.00802,             0.00802,             0.00802
                  34,             0.02385,            0.012098,                   0,             0.95631,             0.97035,             0.98898,              0.6959,            0.013139,           0.0053146,                   0,           0.0079581,           0.0079581,           0.0079581
                  35,            0.024093,            0.012071,                   0,             0.95588,             0.96053,              0.9805,             0.69916,            0.012872,           0.0054405,                   0,           0.0078963,           0.0078963,           0.0078963
                  36,            0.026422,            0.012145,                   0,               0.955,             0.94082,             0.97093,             0.71038,            0.013269,           0.0055356,                   0,           0.0078344,           0.0078344,           0.0078344
                  37,            0.024328,            0.012558,                   0,             0.96552,             0.96545,             0.98519,             0.70844,            0.012977,           0.0053408,                   0,           0.0077725,           0.0077725,           0.0077725
                  38,            0.025123,            0.012187,                   0,             0.95655,              0.9803,              0.9881,              0.7184,              0.0131,           0.0053624,                   0,           0.0077106,           0.0077106,           0.0077106
                  39,            0.023107,            0.012104,                   0,             0.95564,             0.95567,              0.9779,             0.71628,            0.013482,           0.0055428,                   0,           0.0076488,           0.0076488,           0.0076488
                  40,             0.02315,            0.011988,                   0,             0.96517,             0.95554,             0.98086,             0.70755,            0.013983,           0.0057525,                   0,           0.0075869,           0.0075869,           0.0075869
                  41,            0.023144,            0.011888,                   0,             0.94633,             0.95543,             0.98464,             0.71407,            0.014124,           0.0056119,                   0,            0.007525,            0.007525,            0.007525
                  42,            0.024217,            0.012173,                   0,             0.98983,             0.96059,             0.98844,              0.7211,            0.013577,           0.0055261,                   0,           0.0074631,           0.0074631,           0.0074631
                  43,            0.024863,            0.011912,                   0,             0.98029,              0.9803,             0.98863,             0.69885,            0.014098,           0.0055431,                   0,           0.0074013,           0.0074013,           0.0074013
                  44,            0.024436,            0.011722,                   0,              0.9656,             0.97044,             0.98812,             0.70943,            0.013738,           0.0057158,                   0,           0.0073394,           0.0073394,           0.0073394
                  45,            0.021818,            0.011653,                   0,             0.97989,             0.97044,             0.98531,             0.71503,            0.013342,           0.0055464,                   0,           0.0072775,           0.0072775,           0.0072775
                  46,            0.023266,            0.011768,                   0,             0.96592,              0.9803,             0.98935,             0.72045,            0.012499,           0.0053252,                   0,           0.0072156,           0.0072156,           0.0072156
                  47,            0.023004,            0.012065,                   0,             0.95121,             0.96047,             0.97903,             0.69415,            0.013705,            0.005896,                   0,           0.0071538,           0.0071538,           0.0071538
                  48,            0.023399,            0.011571,                   0,             0.95145,             0.96545,              0.9797,             0.69094,            0.013288,           0.0056925,                   0,           0.0070919,           0.0070919,           0.0070919
                  49,            0.024161,            0.011723,                   0,             0.93425,             0.97994,             0.98151,             0.69071,            0.013283,           0.0055627,                   0,             0.00703,             0.00703,             0.00703
                  50,            0.022767,            0.011257,                   0,             0.96561,             0.97044,               0.987,             0.70958,            0.013795,           0.0057559,                   0,           0.0069681,           0.0069681,           0.0069681
                  51,            0.022817,            0.011535,                   0,             0.96154,             0.98522,             0.98942,             0.69536,            0.013274,           0.0054789,                   0,           0.0069063,           0.0069063,           0.0069063
                  52,            0.024727,             0.01158,                   0,             0.95192,             0.97527,             0.98089,             0.71101,            0.013018,           0.0053258,                   0,           0.0068444,           0.0068444,           0.0068444
                  53,            0.022442,            0.011013,                   0,             0.96552,             0.96549,             0.97693,             0.71057,            0.013606,            0.005877,                   0,           0.0067825,           0.0067825,           0.0067825
                  54,            0.021095,            0.011459,                   0,             0.97512,             0.96551,             0.98707,             0.71476,            0.013444,           0.0058547,                   0,           0.0067206,           0.0067206,           0.0067206
                  55,            0.024249,            0.011733,                   0,             0.97044,             0.97038,             0.98483,               0.712,            0.013053,           0.0056381,                   0,           0.0066587,           0.0066587,           0.0066587
                  56,            0.022573,            0.011353,                   0,             0.97983,             0.96552,             0.98728,             0.69837,            0.013939,           0.0058035,                   0,           0.0065969,           0.0065969,           0.0065969
                  57,            0.021222,            0.011303,                   0,             0.96097,             0.97031,             0.98743,             0.70096,            0.014034,           0.0056614,                   0,            0.006535,            0.006535,            0.006535
                  58,            0.020045,            0.010696,                   0,             0.96979,             0.95567,              0.9825,             0.71343,            0.013629,           0.0056446,                   0,           0.0064731,           0.0064731,           0.0064731
                  59,            0.022038,            0.011274,                   0,             0.97059,             0.97531,             0.99116,             0.71009,             0.01312,           0.0057296,                   0,           0.0064112,           0.0064112,           0.0064112
                  60,            0.021735,             0.01117,                   0,             0.97525,             0.97044,              0.9877,             0.70039,            0.013138,           0.0060124,                   0,           0.0063494,           0.0063494,           0.0063494
                  61,            0.022797,            0.011326,                   0,             0.97042,             0.97537,             0.98639,             0.69532,            0.013106,           0.0059589,                   0,           0.0062875,           0.0062875,           0.0062875
                  62,            0.020925,            0.010755,                   0,             0.96072,             0.96552,             0.98151,             0.71675,            0.013372,           0.0059543,                   0,           0.0062256,           0.0062256,           0.0062256
                  63,            0.019475,             0.01075,                   0,             0.96071,             0.96552,              0.9824,             0.73448,            0.012834,           0.0056535,                   0,           0.0061637,           0.0061637,           0.0061637
