               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098229,            0.029679,                   0,             0.49793,             0.61576,             0.54472,             0.17884,            0.033364,            0.015077,                   0,              0.0024,              0.0024,              0.0784
                   1,            0.063905,             0.02154,                   0,             0.55061,             0.61576,             0.54212,             0.16718,            0.035242,            0.010823,                   0,           0.0048394,           0.0048394,            0.055839
                   2,            0.059023,            0.019901,                   0,             0.39993,             0.59606,             0.38858,             0.11646,            0.038882,           0.0079005,                   0,           0.0072168,           0.0072168,            0.033217
                   3,            0.055649,            0.019296,                   0,             0.45831,             0.40845,             0.30167,            0.073913,            0.042276,            0.011051,                   0,           0.0095325,           0.0095325,            0.010532
                   4,            0.049197,            0.019079,                   0,             0.12997,             0.23645,            0.089257,            0.021772,            0.041084,             0.01238,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.052974,            0.020519,                   0,            0.091694,             0.15271,            0.035227,           0.0071059,            0.053444,            0.013569,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.051062,            0.020852,                   0,              0.1969,             0.29557,             0.10393,            0.024231,            0.047836,            0.012395,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.044004,            0.019823,                   0,             0.56749,             0.48276,             0.50595,             0.19158,            0.026333,            0.010642,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.046881,            0.018811,                   0,             0.67631,             0.70443,             0.73244,             0.32506,            0.022508,           0.0089308,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.042793,             0.01824,                   0,             0.85874,             0.68879,             0.81111,             0.39491,             0.02207,           0.0086378,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.042338,            0.017511,                   0,             0.82225,             0.82266,             0.86446,             0.42052,             0.02266,           0.0074532,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.038983,            0.017626,                   0,             0.84027,             0.59604,             0.70886,             0.34268,            0.020318,           0.0088386,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.040413,            0.017207,                   0,             0.71469,             0.82676,             0.82445,             0.39506,            0.020704,           0.0082119,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,             0.04115,            0.017108,                   0,             0.74905,             0.85714,              0.8485,             0.44559,            0.020505,           0.0073227,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.038195,            0.016131,                   0,             0.91044,              0.9014,             0.94877,             0.54544,            0.018784,           0.0062367,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.038453,            0.016861,                   0,             0.89671,             0.81255,             0.91157,             0.50287,            0.019661,           0.0071033,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.039221,            0.016544,                   0,             0.88972,             0.87685,             0.91862,              0.5353,            0.017266,           0.0067905,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,            0.037709,            0.015675,                   0,             0.85575,              0.9064,             0.94551,             0.49394,            0.018059,           0.0064053,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.035986,            0.015627,                   0,             0.91898,             0.85714,             0.93276,               0.554,            0.017355,           0.0063717,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,             0.03621,            0.015811,                   0,             0.87178,               0.867,             0.91612,             0.51336,            0.019619,           0.0064017,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.037431,            0.015295,                   0,             0.91594,             0.91626,             0.95754,             0.60198,            0.015971,           0.0059509,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,             0.03754,            0.015441,                   0,             0.86072,             0.85714,              0.9069,             0.51424,            0.017373,           0.0065299,                   0,            0.007525,            0.007525,            0.007525
                  22,            0.034221,            0.015242,                   0,             0.90451,             0.93596,             0.96167,             0.59286,            0.016208,           0.0058633,                   0,           0.0074013,           0.0074013,           0.0074013
                  23,            0.034135,            0.014606,                   0,             0.90683,               0.911,             0.95685,             0.59554,            0.016349,            0.005865,                   0,           0.0072775,           0.0072775,           0.0072775
                  24,            0.032251,            0.014706,                   0,             0.91294,             0.93103,              0.9624,             0.60278,            0.015347,           0.0059698,                   0,           0.0071538,           0.0071538,           0.0071538
                  25,             0.03126,            0.014739,                   0,             0.93016,             0.92118,             0.96899,             0.62262,            0.016039,           0.0061984,                   0,             0.00703,             0.00703,             0.00703
                  26,            0.033157,            0.014416,                   0,             0.91576,             0.91133,             0.96062,             0.54923,            0.017077,           0.0062228,                   0,           0.0069063,           0.0069063,           0.0069063
                  27,            0.029364,            0.014155,                   0,             0.93862,              0.9064,             0.95154,             0.58681,            0.016816,           0.0061695,                   0,           0.0067825,           0.0067825,           0.0067825
                  28,            0.030392,            0.014606,                   0,              0.8981,             0.95567,             0.97699,             0.62882,            0.015846,           0.0058138,                   0,           0.0066587,           0.0066587,           0.0066587
                  29,            0.031925,            0.014453,                   0,             0.94999,             0.93578,             0.97066,             0.61914,            0.016663,           0.0057069,                   0,            0.006535,            0.006535,            0.006535
                  30,               0.033,            0.014597,                   0,               0.932,             0.94581,             0.97594,             0.62679,            0.014938,           0.0059299,                   0,           0.0064112,           0.0064112,           0.0064112
                  31,            0.034308,            0.014361,                   0,             0.89664,             0.94019,             0.95693,             0.63143,             0.01537,           0.0055389,                   0,           0.0062875,           0.0062875,           0.0062875
                  32,            0.030938,            0.014329,                   0,             0.92334,             0.95074,             0.97399,             0.63785,            0.014581,           0.0055954,                   0,           0.0061637,           0.0061637,           0.0061637
                  33,            0.029918,            0.014738,                   0,             0.93217,             0.95074,             0.97401,              0.6275,             0.01416,           0.0056971,                   0,             0.00604,             0.00604,             0.00604
                  34,            0.027602,            0.013753,                   0,             0.93466,             0.91626,              0.9697,             0.65878,            0.014401,           0.0055468,                   0,           0.0059163,           0.0059163,           0.0059163
                  35,            0.030956,            0.013984,                   0,             0.93269,             0.95556,             0.97452,             0.66188,            0.013982,            0.005375,                   0,           0.0057925,           0.0057925,           0.0057925
                  36,            0.028703,            0.013702,                   0,             0.93219,             0.95074,             0.97871,             0.65687,            0.013902,           0.0055456,                   0,           0.0056688,           0.0056688,           0.0056688
                  37,            0.028615,            0.013838,                   0,             0.95503,             0.94581,             0.97713,             0.66156,            0.013926,           0.0054445,                   0,            0.005545,            0.005545,            0.005545
                  38,            0.027344,            0.013384,                   0,             0.93069,             0.92603,             0.95907,             0.65361,            0.014499,           0.0056081,                   0,           0.0054212,           0.0054212,           0.0054212
