               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083968,            0.029155,                   0,             0.58105,             0.53974,              0.5292,             0.18655,            0.030924,            0.015894,                   0,           0.0032667,           0.0032667,              0.0706
                   1,            0.058275,            0.020949,                   0,             0.53527,             0.49754,             0.48793,             0.18058,             0.03972,            0.010018,                   0,           0.0065592,           0.0065592,            0.040559
                   2,            0.050722,            0.019978,                   0,             0.31393,              0.5665,              0.3099,            0.085497,            0.034465,           0.0086403,                   0,           0.0098104,           0.0098104,            0.010477
                   3,            0.052197,            0.019151,                   0,             0.66836,             0.60591,              0.6493,             0.30775,            0.025368,           0.0092266,                   0,           0.0098144,           0.0098144,           0.0098144
                   4,            0.045594,            0.017526,                   0,             0.64709,              0.5468,             0.63367,             0.24743,            0.027273,            0.010407,                   0,           0.0098144,           0.0098144,           0.0098144
                   5,            0.042603,            0.016989,                   0,             0.81897,              0.7577,             0.85267,             0.44388,            0.020455,            0.007325,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.041349,            0.017401,                   0,             0.86909,             0.75862,              0.8505,              0.4216,            0.023301,           0.0075174,                   0,           0.0096906,           0.0096906,           0.0096906
                   7,            0.041262,             0.01726,                   0,             0.83936,             0.78325,             0.86292,             0.43787,            0.021338,           0.0075177,                   0,           0.0096288,           0.0096288,           0.0096288
                   8,            0.041809,            0.016768,                   0,             0.84728,             0.84722,             0.90909,             0.49156,            0.022744,           0.0065875,                   0,           0.0095669,           0.0095669,           0.0095669
                   9,            0.036838,            0.016153,                   0,             0.92706,              0.8766,             0.94382,             0.50527,            0.018961,           0.0067277,                   0,            0.009505,            0.009505,            0.009505
                  10,            0.035878,            0.015637,                   0,             0.87716,             0.91626,             0.93726,              0.5149,            0.018738,           0.0065209,                   0,           0.0094431,           0.0094431,           0.0094431
                  11,            0.033924,            0.015543,                   0,             0.91622,               0.862,             0.94421,             0.56482,            0.017704,           0.0064536,                   0,           0.0093813,           0.0093813,           0.0093813
                  12,            0.032169,            0.015219,                   0,             0.93949,             0.85222,             0.95117,             0.52869,            0.018735,           0.0063109,                   0,           0.0093194,           0.0093194,           0.0093194
                  13,            0.034182,            0.015238,                   0,             0.91957,              0.9011,             0.95469,             0.56671,             0.01803,           0.0060596,                   0,           0.0092575,           0.0092575,           0.0092575
                  14,            0.027855,            0.014605,                   0,             0.92232,             0.93582,             0.95846,             0.51362,             0.01713,           0.0063796,                   0,           0.0091956,           0.0091956,           0.0091956
                  15,            0.032249,            0.015574,                   0,             0.93845,             0.92611,             0.96251,             0.57466,            0.016406,           0.0059728,                   0,           0.0091337,           0.0091337,           0.0091337
                  16,            0.031147,            0.014665,                   0,             0.88372,             0.93594,             0.96155,             0.61641,            0.014932,           0.0060004,                   0,           0.0090719,           0.0090719,           0.0090719
                  17,            0.031726,            0.014542,                   0,             0.90905,              0.9355,             0.97261,             0.59845,            0.017471,           0.0060671,                   0,             0.00901,             0.00901,             0.00901
                  18,            0.030237,            0.014387,                   0,             0.91765,             0.88177,             0.94053,             0.59025,             0.01659,            0.006042,                   0,           0.0089481,           0.0089481,           0.0089481
                  19,            0.031032,             0.01427,                   0,             0.92756,              0.8867,             0.94553,             0.60193,            0.016358,           0.0058572,                   0,           0.0088863,           0.0088863,           0.0088863
                  20,            0.030425,            0.014328,                   0,             0.95494,             0.94581,             0.97902,              0.6504,            0.014338,            0.005577,                   0,           0.0088244,           0.0088244,           0.0088244
                  21,            0.031892,            0.014697,                   0,              0.9021,             0.95567,             0.97702,             0.63259,            0.015602,           0.0056877,                   0,           0.0087625,           0.0087625,           0.0087625
                  22,            0.027815,            0.013958,                   0,             0.93268,              0.9555,             0.97681,             0.63919,            0.015216,            0.005821,                   0,           0.0087006,           0.0087006,           0.0087006
                  23,            0.029085,            0.013861,                   0,             0.94999,             0.93573,             0.96784,             0.63463,            0.015249,           0.0058831,                   0,           0.0086388,           0.0086388,           0.0086388
                  24,            0.026692,            0.013663,                   0,              0.9358,             0.93596,             0.96324,             0.62796,            0.016441,           0.0057524,                   0,           0.0085769,           0.0085769,           0.0085769
                  25,            0.026321,            0.013814,                   0,             0.93595,             0.93586,             0.96632,             0.65385,            0.015433,           0.0053208,                   0,            0.008515,            0.008515,            0.008515
                  26,             0.02811,            0.013514,                   0,             0.92763,             0.95074,             0.97149,             0.65595,            0.014484,           0.0054837,                   0,           0.0084531,           0.0084531,           0.0084531
                  27,            0.026796,            0.013861,                   0,              0.9306,             0.92611,              0.9681,             0.65582,            0.014183,           0.0056627,                   0,           0.0083913,           0.0083913,           0.0083913
                  28,            0.026499,            0.013774,                   0,             0.91827,             0.94085,             0.96909,             0.65805,            0.014257,           0.0056776,                   0,           0.0083294,           0.0083294,           0.0083294
                  29,            0.027018,             0.01337,                   0,             0.94674,             0.96552,             0.98613,             0.67347,            0.013539,           0.0053988,                   0,           0.0082675,           0.0082675,           0.0082675
                  30,            0.026893,            0.013322,                   0,             0.95073,             0.95064,             0.98122,             0.65591,            0.014112,           0.0057371,                   0,           0.0082056,           0.0082056,           0.0082056
                  31,            0.030172,            0.013457,                   0,             0.95018,             0.94581,             0.97694,             0.64443,            0.015294,           0.0054199,                   0,           0.0081437,           0.0081437,           0.0081437
                  32,            0.026312,             0.01343,                   0,              0.9466,             0.96047,             0.98359,             0.67698,            0.014525,           0.0054342,                   0,           0.0080819,           0.0080819,           0.0080819
                  33,            0.025845,            0.013303,                   0,             0.96041,             0.96059,             0.97465,               0.659,            0.014267,           0.0054866,                   0,             0.00802,             0.00802,             0.00802
                  34,            0.024791,            0.013303,                   0,             0.95652,             0.97529,             0.98917,             0.68418,            0.014436,           0.0051186,                   0,           0.0079581,           0.0079581,           0.0079581
                  35,            0.027168,            0.012779,                   0,             0.94948,             0.92574,             0.96729,             0.65853,            0.014367,           0.0055015,                   0,           0.0078963,           0.0078963,           0.0078963
                  36,            0.023233,            0.013043,                   0,             0.93234,             0.95036,             0.97547,             0.66382,            0.014943,           0.0054106,                   0,           0.0078344,           0.0078344,           0.0078344
                  37,            0.025637,            0.013309,                   0,             0.93624,             0.94089,             0.96799,             0.64424,            0.015125,            0.005564,                   0,           0.0077725,           0.0077725,           0.0077725
                  38,            0.024777,            0.013032,                   0,             0.93232,             0.95074,             0.97865,             0.66833,            0.014448,           0.0053421,                   0,           0.0077106,           0.0077106,           0.0077106
                  39,            0.024024,            0.012523,                   0,             0.96045,             0.96552,             0.98507,             0.66574,            0.014053,             0.00544,                   0,           0.0076488,           0.0076488,           0.0076488
                  40,            0.023918,            0.011966,                   0,             0.92344,             0.95063,             0.97697,             0.67022,            0.014429,           0.0053131,                   0,           0.0075869,           0.0075869,           0.0075869
                  41,            0.025328,            0.012779,                   0,             0.93686,             0.95074,             0.97498,              0.6666,            0.015043,           0.0057027,                   0,            0.007525,            0.007525,            0.007525
                  42,            0.024197,            0.012221,                   0,             0.95098,             0.95563,             0.96967,             0.67894,            0.013681,           0.0052944,                   0,           0.0074631,           0.0074631,           0.0074631
                  43,            0.024044,            0.012544,                   0,             0.94577,             0.94581,             0.96545,             0.67337,            0.014186,           0.0053953,                   0,           0.0074013,           0.0074013,           0.0074013
                  44,             0.02491,            0.012531,                   0,              0.9282,             0.95525,             0.96833,              0.6822,            0.013826,           0.0053906,                   0,           0.0073394,           0.0073394,           0.0073394
                  45,            0.023308,            0.011841,                   0,             0.94144,             0.95074,             0.97106,             0.66001,            0.013734,           0.0055094,                   0,           0.0072775,           0.0072775,           0.0072775
                  46,              0.0243,             0.01239,                   0,             0.94573,             0.94581,             0.97202,             0.65671,             0.01478,           0.0054157,                   0,           0.0072156,           0.0072156,           0.0072156
                  47,            0.023473,            0.012453,                   0,             0.96482,             0.94573,             0.96657,             0.66507,            0.013128,           0.0053763,                   0,           0.0071538,           0.0071538,           0.0071538
                  48,            0.024442,            0.012355,                   0,              0.9597,             0.94089,             0.96007,             0.67541,            0.013583,           0.0054789,                   0,           0.0070919,           0.0070919,           0.0070919
                  49,            0.024207,             0.01242,                   0,             0.91536,             0.96059,             0.96589,             0.67117,            0.014198,           0.0054367,                   0,             0.00703,             0.00703,             0.00703
                  50,            0.023648,            0.012596,                   0,              0.9641,              0.9261,             0.97566,              0.6839,            0.013893,           0.0053315,                   0,           0.0069681,           0.0069681,           0.0069681
                  51,            0.023582,            0.012134,                   0,             0.94109,             0.94581,             0.96653,             0.67447,            0.014218,           0.0055742,                   0,           0.0069063,           0.0069063,           0.0069063
                  52,            0.023685,            0.012172,                   0,             0.94191,             0.96059,             0.98231,             0.68577,            0.013986,           0.0055079,                   0,           0.0068444,           0.0068444,           0.0068444
